id,name,club,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick,Short Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading,Def. Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression
189332,Jordi Alba Ramos,FC Barcelona,87.0,86.0,83.0,73.0,64.0,66.0,60.0,59.0,78.0,85.0,63.0,85.0,79.0,80.0,90.0,85.0,80.0,85.0,81.0,80.0,81.0,70.0,74.0,78.0,80.0,80.0,87.0,61.0,75.0
232363,Milan Škriniar,Inter,76.0,84.0,30.0,42.0,50.0,30.0,40.0,56.0,46.0,40.0,30.0,72.0,49.0,34.0,54.0,56.0,86.0,72.0,67.0,87.0,86.0,81.0,90.0,88.0,82.0,84.0,79.0,86.0,84.0
231866,Rodrigo Hernández Cascante,Manchester City,60.0,62.0,75.0,64.0,83.0,76.0,59.0,46.0,81.0,63.0,54.0,85.0,83.0,65.0,65.0,65.0,80.0,82.0,78.0,83.0,83.0,78.0,83.0,84.0,78.0,72.0,87.0,82.0,76.0
212218,Aymeric Laporte,Manchester City,59.0,67.0,54.0,45.0,68.0,47.0,40.0,44.0,65.0,58.0,69.0,82.0,80.0,61.0,57.0,60.0,87.0,78.0,63.0,84.0,87.0,84.0,86.0,87.0,86.0,80.0,72.0,84.0,81.0
218667,Bernardo Mota Carvalho e Silva,Manchester City,83.0,77.0,83.0,77.0,76.0,76.0,70.0,68.0,84.0,85.0,67.0,86.0,76.0,84.0,94.0,92.0,84.0,90.0,92.0,87.0,54.0,51.0,49.0,63.0,45.0,52.0,91.0,55.0,71.0
204485,Riyad Mahrez,Manchester City,84.0,79.0,80.0,81.0,79.0,79.0,76.0,70.0,84.0,81.0,78.0,83.0,75.0,85.0,92.0,88.0,81.0,91.0,91.0,84.0,39.0,48.0,45.0,31.0,22.0,56.0,75.0,57.0,48.0
210514,João Pedro Cavaco Cancelo,Manchester City,86.0,84.0,80.0,68.0,80.0,75.0,62.0,46.0,83.0,86.0,69.0,85.0,78.0,84.0,80.0,78.0,85.0,85.0,85.0,85.0,80.0,72.0,79.0,82.0,80.0,72.0,90.0,62.0,73.0
178603,Mats Hummels,Borussia Dortmund,47.0,64.0,57.0,57.0,71.0,49.0,61.0,68.0,81.0,66.0,53.0,83.0,83.0,67.0,61.0,62.0,88.0,79.0,69.0,89.0,89.0,88.0,90.0,90.0,86.0,70.0,66.0,86.0,71.0
226161,Marcos Llorente Moreno,Atlético de Madrid,86.0,90.0,87.0,81.0,84.0,79.0,64.0,64.0,86.0,74.0,58.0,86.0,83.0,73.0,82.0,69.0,86.0,84.0,82.0,83.0,82.0,67.0,79.0,80.0,74.0,69.0,90.0,79.0,83.0
50564304,Theo Hernández,Milan,94.0,96.0,83.0,71.0,83.0,75.0,69.0,52.0,77.0,87.0,67.0,81.0,71.0,72.0,80.0,77.0,86.0,81.0,85.0,82.0,80.0,76.0,76.0,81.0,82.0,70.0,92.0,81.0,84.0
143076,Alejandro Gómez,Sevilla FC,91.0,83.0,80.0,77.0,79.0,82.0,72.0,72.0,86.0,83.0,79.0,85.0,80.0,85.0,93.0,93.0,86.0,86.0,85.0,85.0,39.0,37.0,49.0,30.0,33.0,69.0,74.0,44.0,55.0
84074647,Pierre-Emerick Aubameyang,FC Barcelona,87.0,91.0,90.0,89.0,82.0,78.0,83.0,83.0,77.0,76.0,76.0,77.0,64.0,81.0,77.0,67.0,86.0,81.0,79.0,87.0,48.0,73.0,20.0,29.0,36.0,75.0,79.0,74.0,43.0
179813,Edinson Cavani,Manchester Utd,64.0,68.0,93.0,89.0,87.0,77.0,86.0,85.0,75.0,68.0,74.0,75.0,52.0,76.0,68.0,57.0,90.0,81.0,74.0,85.0,54.0,88.0,45.0,48.0,39.0,88.0,81.0,77.0,81.0
235243,Matthijs de Ligt,Piemonte Calcio,71.0,75.0,44.0,50.0,82.0,66.0,45.0,40.0,45.0,52.0,55.0,75.0,63.0,48.0,61.0,62.0,85.0,74.0,66.0,83.0,81.0,85.0,84.0,85.0,85.0,94.0,75.0,94.0,84.0
231677,Marcus Rashford,Manchester Utd,86.0,93.0,83.0,83.0,92.0,81.0,73.0,84.0,81.0,80.0,76.0,80.0,71.0,83.0,84.0,75.0,84.0,84.0,86.0,80.0,42.0,68.0,45.0,38.0,33.0,74.0,86.0,75.0,73.0
201942,Roberto Firmino Barbosa de Oliveira,Liverpool,77.0,77.0,82.0,78.0,79.0,76.0,83.0,72.0,83.0,73.0,65.0,84.0,76.0,81.0,85.0,86.0,86.0,90.0,89.0,88.0,58.0,78.0,55.0,64.0,42.0,81.0,87.0,74.0,75.0
223848,Sergej Milinković-Savić,Latium,66.0,70.0,79.0,80.0,83.0,80.0,74.0,56.0,85.0,64.0,78.0,85.0,85.0,80.0,62.0,63.0,83.0,86.0,84.0,84.0,78.0,86.0,78.0,79.0,74.0,85.0,91.0,87.0,79.0
226790,Wilfred Ndidi,Leicester City,65.0,68.0,67.0,50.0,80.0,70.0,68.0,57.0,67.0,53.0,60.0,78.0,75.0,60.0,69.0,66.0,87.0,77.0,72.0,80.0,90.0,72.0,87.0,90.0,85.0,90.0,90.0,78.0,87.0
184344,Leonardo Bonucci,Piemonte Calcio,60.0,68.0,38.0,48.0,74.0,65.0,58.0,70.0,71.0,44.0,60.0,81.0,81.0,56.0,59.0,53.0,82.0,79.0,69.0,86.0,86.0,83.0,88.0,85.0,81.0,90.0,65.0,86.0,82.0
206113,Serge Gnabry,FC Bayern München,90.0,77.0,86.0,86.0,87.0,82.0,83.0,68.0,83.0,74.0,62.0,82.0,78.0,74.0,87.0,88.0,86.0,83.0,88.0,80.0,38.0,42.0,45.0,44.0,43.0,65.0,78.0,68.0,63.0
202556,Memphis Depay,FC Barcelona,81.0,83.0,85.0,83.0,87.0,83.0,74.0,76.0,85.0,84.0,83.0,81.0,76.0,85.0,80.0,81.0,83.0,85.0,86.0,80.0,28.0,65.0,23.0,31.0,20.0,69.0,79.0,83.0,72.0
168542,David Josué Jiménez Silva,Real Sociedad,70.0,57.0,86.0,72.0,72.0,73.0,82.0,75.0,90.0,83.0,77.0,90.0,83.0,82.0,84.0,89.0,85.0,90.0,86.0,91.0,50.0,53.0,58.0,53.0,29.0,61.0,66.0,45.0,56.0
230142,Mikel Oyarzabal Ugarte,Real Sociedad,83.0,81.0,85.0,84.0,80.0,81.0,74.0,84.0,85.0,82.0,71.0,83.0,73.0,77.0,83.0,80.0,81.0,85.0,85.0,83.0,29.0,60.0,55.0,32.0,30.0,72.0,82.0,57.0,52.0
235212,Achraf Hakimi,Paris SG,95.0,95.0,78.0,73.0,77.0,70.0,60.0,46.0,75.0,86.0,55.0,81.0,73.0,68.0,86.0,79.0,84.0,83.0,84.0,80.0,78.0,68.0,75.0,78.0,76.0,80.0,91.0,73.0,75.0
194765,Antoine Griezmann,Atlético de Madrid,80.0,80.0,89.0,84.0,82.0,83.0,86.0,79.0,85.0,83.0,85.0,84.0,82.0,86.0,92.0,83.0,89.0,89.0,85.0,90.0,49.0,83.0,43.0,54.0,49.0,90.0,86.0,63.0,73.0
193747,Jorge Resurrección,Atlético de Madrid,72.0,69.0,83.0,72.0,83.0,80.0,56.0,67.0,86.0,85.0,76.0,86.0,84.0,85.0,73.0,82.0,88.0,83.0,80.0,86.0,83.0,61.0,82.0,81.0,70.0,60.0,94.0,76.0,80.0
198176,Stefan de Vrij,Inter,69.0,75.0,31.0,25.0,65.0,60.0,27.0,41.0,70.0,49.0,16.0,75.0,71.0,45.0,61.0,59.0,85.0,75.0,66.0,85.0,87.0,84.0,89.0,87.0,85.0,79.0,80.0,79.0,77.0
231478,Lautaro Martínez,Inter,86.0,83.0,86.0,85.0,80.0,74.0,88.0,74.0,81.0,56.0,43.0,78.0,73.0,78.0,86.0,89.0,89.0,85.0,83.0,83.0,45.0,87.0,55.0,31.0,44.0,88.0,80.0,84.0,86.0
188377,Kyle Walker,Manchester City,89.0,94.0,68.0,51.0,86.0,69.0,57.0,63.0,69.0,77.0,71.0,79.0,77.0,76.0,66.0,69.0,85.0,81.0,79.0,75.0,80.0,74.0,77.0,84.0,83.0,83.0,86.0,80.0,84.0
186942,İlkay Gündoğan,Manchester City,66.0,65.0,82.0,80.0,79.0,81.0,75.0,80.0,86.0,78.0,80.0,88.0,85.0,86.0,77.0,77.0,86.0,89.0,86.0,87.0,79.0,51.0,77.0,76.0,68.0,61.0,74.0,73.0,70.0
183277,Eden Hazard,Real Madrid,86.0,82.0,83.0,78.0,82.0,77.0,82.0,87.0,84.0,77.0,79.0,85.0,81.0,83.0,87.0,89.0,79.0,88.0,89.0,89.0,41.0,61.0,34.0,27.0,22.0,55.0,77.0,61.0,54.0
188350,Marco Reus,Borussia Dortmund,76.0,71.0,85.0,84.0,86.0,83.0,85.0,76.0,86.0,85.0,85.0,85.0,79.0,88.0,83.0,82.0,86.0,86.0,85.0,85.0,50.0,45.0,53.0,39.0,55.0,68.0,67.0,66.0,51.0
164240,Thiago Emiliano da Silva,Chelsea,52.0,54.0,59.0,40.0,71.0,65.0,61.0,60.0,71.0,60.0,61.0,80.0,80.0,62.0,67.0,66.0,82.0,79.0,67.0,86.0,88.0,81.0,87.0,86.0,84.0,88.0,68.0,82.0,76.0
205498,Luiz Frello Filho Jorge,Chelsea,61.0,50.0,70.0,65.0,72.0,62.0,72.0,74.0,89.0,79.0,81.0,89.0,89.0,79.0,77.0,72.0,82.0,86.0,79.0,81.0,81.0,56.0,67.0,81.0,71.0,59.0,83.0,67.0,80.0
204963,Daniel Carvajal Ramos,Real Madrid,79.0,80.0,75.0,51.0,68.0,47.0,49.0,45.0,74.0,82.0,47.0,83.0,74.0,76.0,79.0,81.0,83.0,83.0,78.0,81.0,81.0,72.0,82.0,82.0,84.0,77.0,89.0,74.0,84.0
232656,Theo Hernández,Milan,92.0,94.0,80.0,68.0,80.0,72.0,66.0,50.0,74.0,84.0,64.0,78.0,68.0,69.0,78.0,75.0,84.0,79.0,83.0,80.0,78.0,74.0,74.0,79.0,80.0,68.0,90.0,79.0,82.0
204639,Stefan Savić,Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84086538,Lucas Digne,Aston Villa,81.0,77.0,73.0,60.0,83.0,76.0,68.0,60.0,75.0,88.0,83.0,81.0,73.0,83.0,74.0,78.0,83.0,84.0,78.0,81.0,82.0,71.0,78.0,83.0,84.0,94.0,86.0,69.0,76.0
198706,Luis Alberto Romero Alconchel,Latium,65.0,62.0,77.0,77.0,78.0,77.0,76.0,56.0,87.0,76.0,79.0,92.0,90.0,86.0,75.0,83.0,75.0,91.0,86.0,78.0,59.0,49.0,58.0,58.0,52.0,53.0,75.0,64.0,29.0
216594,Nabil Fekir,Real Betis,88.0,79.0,82.0,83.0,84.0,84.0,77.0,74.0,83.0,79.0,79.0,84.0,78.0,83.0,82.0,91.0,79.0,87.0,88.0,89.0,34.0,49.0,34.0,42.0,30.0,64.0,79.0,81.0,79.0
146536,Jesús Navas González,Sevilla FC,90.0,84.0,81.0,65.0,74.0,70.0,75.0,56.0,83.0,85.0,46.0,83.0,79.0,82.0,82.0,84.0,84.0,83.0,84.0,82.0,80.0,73.0,82.0,77.0,79.0,63.0,82.0,39.0,75.0
210243,Ricardo Barbosa Pereira,Leicester City,82.0,83.0,77.0,66.0,74.0,64.0,59.0,61.0,76.0,82.0,52.0,82.0,77.0,78.0,79.0,82.0,83.0,83.0,81.0,81.0,79.0,67.0,80.0,84.0,83.0,75.0,84.0,69.0,79.0
175943,Dries Mertens,Napoli,90.0,80.0,83.0,85.0,81.0,82.0,71.0,80.0,81.0,73.0,79.0,84.0,72.0,82.0,93.0,92.0,80.0,88.0,88.0,81.0,36.0,40.0,23.0,40.0,40.0,58.0,66.0,37.0,59.0
199434,Dušan Tadić,Ajax,67.0,70.0,85.0,83.0,79.0,77.0,80.0,86.0,88.0,86.0,79.0,87.0,80.0,85.0,76.0,84.0,83.0,87.0,85.0,86.0,41.0,66.0,51.0,34.0,26.0,59.0,88.0,80.0,56.0
183711,Jordan Henderson,Liverpool,67.0,66.0,78.0,73.0,77.0,75.0,71.0,64.0,80.0,82.0,74.0,85.0,87.0,80.0,69.0,68.0,85.0,83.0,78.0,82.0,81.0,65.0,79.0,81.0,76.0,78.0,86.0,78.0,83.0
199451,Wissam Ben Yedder,AS Monaco,83.0,81.0,90.0,88.0,84.0,74.0,84.0,85.0,80.0,74.0,76.0,82.0,66.0,82.0,91.0,91.0,86.0,87.0,87.0,85.0,44.0,74.0,34.0,33.0,26.0,78.0,75.0,69.0,62.0
200647,Josip Iličić,Bergamo Calcio,76.0,74.0,85.0,85.0,88.0,89.0,83.0,78.0,87.0,82.0,83.0,86.0,77.0,85.0,83.0,73.0,80.0,88.0,88.0,80.0,46.0,58.0,41.0,32.0,26.0,34.0,65.0,74.0,58.0
184134,Fernando Reges,Sevilla FC,65.0,67.0,59.0,54.0,76.0,68.0,56.0,54.0,76.0,62.0,53.0,84.0,79.0,65.0,70.0,62.0,83.0,78.0,71.0,78.0,85.0,74.0,84.0,85.0,83.0,76.0,82.0,81.0,85.0
216393,Youri Tielemans,Leicester City,68.0,60.0,80.0,74.0,87.0,86.0,78.0,73.0,87.0,82.0,78.0,89.0,88.0,81.0,67.0,77.0,83.0,85.0,79.0,86.0,74.0,67.0,70.0,73.0,69.0,66.0,81.0,69.0,68.0
224334,Marcos Acuña,Sevilla FC,77.0,76.0,81.0,66.0,82.0,81.0,68.0,76.0,82.0,87.0,75.0,82.0,78.0,88.0,83.0,90.0,83.0,88.0,87.0,87.0,79.0,58.0,80.0,84.0,82.0,63.0,90.0,80.0,84.0
152729,Gerard Piqué Bernabeu,FC Barcelona,51.0,65.0,64.0,65.0,62.0,51.0,57.0,69.0,72.0,57.0,43.0,80.0,80.0,58.0,57.0,35.0,85.0,80.0,63.0,86.0,85.0,84.0,86.0,85.0,83.0,74.0,63.0,86.0,79.0
192629,Iago Aspas Juncal,RC Celta,78.0,86.0,84.0,89.0,79.0,81.0,83.0,82.0,81.0,80.0,83.0,80.0,73.0,79.0,90.0,72.0,84.0,86.0,87.0,85.0,39.0,77.0,39.0,21.0,18.0,66.0,69.0,60.0,63.0
200458,Lucas Digne,Everton,81.0,77.0,73.0,60.0,83.0,76.0,68.0,60.0,75.0,88.0,83.0,81.0,73.0,83.0,74.0,78.0,83.0,84.0,78.0,81.0,82.0,71.0,78.0,83.0,84.0,94.0,86.0,69.0,76.0
